Team,Year,Result,Seed,Record,Offensive Efficiency,Defensive Efficiency,eFG,DeFG,DFTRate,2PT%,D2PT%,DFT%,DStl%,NSTRate,DNSTRate,2PD,AwayPct,QGamePct,Height,ORebPct,ORebAllowedPct,FTRate,3PT%,D3PT%,FT%,Blk%,DBlk%,Stl%,A/FGM,DA/FGM,3PD,FTD,SoS,BenchMin,Experience,Continuity,AwayPM,TOPct,DTOPct
Duke,2002,3,1,0.886,121,86.8,56.3,46.1,32.1,57.4,46.3,68.9,13,9.4,12.7,50.9,0.897,0.9,,34.5,34.1,41,36.3,30.3,69,7.5,7.2,9.2,57.2,49.6,29,20.1,+6.66,,,,0.011,18.6,25.7
Cincinnati,2002,2,1,0.886,118.1,87.9,51.7,41.6,30.4,50.7,40.5,68.3,6.9,10.5,14.3,55.4,0.9,0.8,,37.7,31.3,40.5,36.2,29.6,70.9,6.2,10.2,6.6,48.7,44.8,22.9,21.7,+3.48,,,,0.014,17.1,21.2
Maryland,2002,7,1,0.889,119.2,89.9,53,44.9,30.9,51.9,43.7,68.1,11.2,8.9,9.3,56.6,0.893,0.727,,36.1,33.6,41.5,37.4,31.7,72.6,7.7,13.6,9.4,65.9,53.2,21.3,22.1,+1.62,,,,0.004,18.3,20.5
Kansas,2002,5,1,0.892,118.7,89.7,54.5,45.9,29.4,52.6,41.9,68.2,11.6,9.5,9.1,61.2,0.931,0.909,,41.2,32.5,35.2,41.1,36.5,71.9,9.1,12.2,10.9,61.3,52.5,20,18.8,+8.32,,,,0.039,20.4,20.6
Oklahoma,2002,5,2,0.861,114.9,88.9,49.5,44.9,42.2,48.2,44.9,68.6,12.9,8.8,10.3,55.2,0.857,0.636,,40.1,31.7,31.4,35,29.9,76.7,8.2,9.6,8.2,51.1,55.5,25.2,19.6,-0.45,,,,-0.004,17,23.2
Indiana,2002,6,5,0.676,114,89.2,52.2,45.8,31.4,48.4,42.9,66.4,10.5,9.9,10.9,49.7,0.655,0.444,,32.9,33.2,37.3,40,35.6,69.5,10,12.5,10.7,58.5,48.2,30.4,19.9,+13.53,,,,-0.021,20.6,21.4
Florida,2002,1,5,0.71,115.1,90.4,53.1,46.3,34.6,53.2,44.4,68.4,13.6,10.6,11.6,52.9,0.75,0.538,,38.5,33.1,36.2,35.3,33.3,69.7,7.2,12,9.9,58.2,59.7,27.9,19.2,-0.56,,,,0.04,20.5,25.2
Illinois,2002,3,4,0.743,115.7,92.5,53.6,47.6,38.8,52.7,45.7,66.3,10.5,12.9,11.5,48.3,0.767,0.6,,35.5,31.7,44.6,36.7,34,74,8.1,11.1,7.9,65,55.1,28.1,23.6,+6.78,,,,0.024,20.8,22
Oregon,2002,4,2,0.743,119.2,96.3,56.2,47.8,32.5,52.4,46.5,68,9.9,9.2,10.3,47.2,0.759,0.727,,33.9,32.6,41.6,42.2,34.3,77.1,6.6,7,9.3,57.1,45.3,30.6,22.2,-3.3,,,,0.016,18.5,20.2
Kentucky,2002,3,4,0.688,113.4,91.2,49.6,46.9,32.2,50.9,45.1,67.9,10.5,10.3,12.2,54.9,0.714,0.571,,41.2,34.6,31.8,31.5,33.7,67.7,7.8,12.3,9.9,51.2,52.8,27.3,17.8,+6.75,,,,0.026,20.2,22.7
Marquette,2002,1,5,0.788,113.4,91.9,52,46,33.7,50.4,44.8,65.4,12.6,11.2,12.4,57.9,0.828,0.556,,39.6,33.6,39.1,37.9,32.1,69.2,7.4,10.1,9.2,52.8,59.5,21.5,20.6,-2.87,,,,0.04,20.5,25
USC,2002,1,4,0.688,112.8,92.1,48.9,48.5,39.1,47.7,47.3,68.4,12.4,9.9,11.4,56.8,0.714,0.4,,36.4,32.5,33.3,34.7,33.7,69.2,6.8,11.2,6.9,55.4,58.5,24.2,19,+1.89,,,,0.026,16.8,23.7
Arizona,2002,3,3,0.706,119.3,98.8,52.2,49.2,28.5,50,47.9,70.1,8.3,10.6,9.9,48.5,0.679,0.556,,35.3,36,44.6,37.6,34.8,73.1,8.5,7.3,8.4,56.5,54.8,27.7,23.8,+17.56,,,,-0.027,19,18.3
KentSt.,2002,4,10,0.829,116.7,96.4,52,47,36.5,50.8,46.2,68.9,9.7,9.3,11,55.6,0.828,0,,38.1,31.5,35.7,36.6,32.5,73.1,5.6,5.5,7.2,48.5,50.6,24.3,20.1,+2.99,,,,-0.001,16.5,20.7
Stanford,2002,2,8,0.667,116.6,96.3,50.8,47.3,37.1,50.6,45.1,69.4,7,9,10,50.8,0.704,0.417,,40.1,29.1,44.6,34,35.1,70,6.6,10.2,9.9,58.4,51.1,25.7,23.5,+2.11,,,,0.037,18.9,17
Pittsburgh,2002,3,3,0.829,112.1,92.2,52.6,44.2,31.3,54.8,44.6,69.5,9.9,13.1,12.1,56,0.862,0.5,,38.8,30.5,38,32.3,28.8,60.5,9.4,11.9,7.9,63.6,54.9,26.1,17.9,-12.06,,,,0.033,21.1,22
OhioSt.,2002,2,4,0.75,116.4,96.6,53.6,49.3,36.4,52.6,49.9,70.1,9,12.3,13.4,55,0.741,0.455,,35.7,31.5,46.7,37.6,32.1,67.5,8.9,6.8,7.4,58.5,54.8,22.2,22.7,-1.26,,,,-0.009,19.7,22.5
Connecticut,2002,4,2,0.794,112.2,92.8,52.1,43,30.7,50.5,40.6,71.2,10.4,12.9,9.8,61.8,0.778,0.5,,39.7,36.2,39.1,39.4,32.3,69.6,8.6,15.6,9.1,50.8,55.8,17.5,20.7,+1.72,,,,-0.016,22,20.1
NotreDame,2002,2,8,0.656,116.1,96.8,51.5,45.1,26.5,49,42.7,67.5,11,8.4,8.7,52.9,0.69,0.5,,35.7,33.6,34,37.9,33.7,71.2,8.7,10.9,10.2,67.1,56.5,28,19.1,-1.55,,,,0.034,18.6,19.7
N.C.State,2002,2,7,0.676,113.2,94,52.5,48.8,40.3,51.5,49.6,73.7,11.4,9.2,12.2,45.6,0.69,0.125,,31,30.6,38.9,36,31.4,75.5,9.8,5.7,9.8,63.3,54.8,32.5,21.9,-5.56,,,,0.014,19.1,23.6
Alabama,2002,2,2,0.771,114,95.3,49.2,46,33.3,50.7,45.2,68.2,10.5,11.2,11.5,52.1,0.8,0.714,,40.2,34.9,40.8,30.9,31.8,73.6,7.2,8,8.8,50.5,47,24.5,23.4,-1.56,,,,0.029,20,22
Xavier,2002,2,7,0.812,111.2,92.6,50.5,44.4,26.3,49.2,43.7,66.9,9.9,11.3,10.2,50.1,0.815,0.571,,36.8,33.4,45.3,35.6,30.7,72.1,8.7,10.7,9,51.5,51.9,25.5,24.4,+5.37,,,,0.003,20.2,20
Gonzaga,2002,1,6,0.875,115.6,97.1,52.8,44.6,31.6,50.1,41.8,68.6,8,11.6,10.7,50,0.897,0.333,,38.2,29.4,44.3,39.1,33.2,73.2,7.7,8.8,8.1,57.8,50,26.5,23.5,+4.04,,,,0.022,19.7,18.7
Georgia,2002,2,3,0.71,116.7,98.3,50.1,48.8,28.9,50.8,50,66.6,12.6,9.4,8.3,55.8,0.724,0.727,,39.5,36.3,36.3,32.3,31,74.3,9,9.4,10.5,56.9,56.3,23,21.2,+3.30,,,,0.014,19.9,20.9
MississippiSt.,2002,2,3,0.771,111.4,93.1,52.9,46.4,28.9,53.1,47,68.8,11.9,12.5,10.2,58.2,0.767,0.444,,39.1,31.9,39.3,34.8,30.1,65.3,6.7,9,11.1,60,46.6,22.3,19.5,-0.96,,,,-0.004,23.6,22.1
Texas,2002,3,6,0.647,116,98.3,50,49.8,34.8,48.3,47.3,65.4,8.7,10.1,11.5,56.4,0.655,0.385,,41,34.2,38.8,36.8,36.6,68.7,8.3,9.5,9.1,54.4,52.1,22.6,21,+5.30,,,,0.008,19.2,20.2
Missouri,2002,4,12,0.667,116.2,98.7,53,49.3,36.2,49.7,47.5,66.9,10.3,9.9,9.7,49,0.667,0.364,,39.7,33.4,31.5,39.1,36.4,69,7.8,9.7,10.1,52.3,54.9,34,17,-0.39,,,,0,20,20
WakeForest,2002,2,7,0.618,118.6,101.3,53.5,50.1,33.4,52.9,49.3,68.8,8.8,9.5,10.7,54.6,0.633,0.4,,36.7,34.1,35.4,36.6,34.4,73.8,6.5,9.9,10.4,55.2,53.3,25.8,19.6,+5.85,,,,0.015,19.9,19.5
TexasTech,2002,1,6,0.719,114.6,97.4,50.2,47.1,23.9,48.7,44.8,68.1,10.4,8.8,10.6,62,0.75,0.444,,34.5,36.8,38.4,37.6,35.5,68.2,7.1,8.8,8.2,63.2,55.2,17.3,20.7,-0.13,,,,0.031,17,21
MichiganSt.,2002,1,10,0.613,113,96.2,51.6,45.5,32.4,48.8,46,72.2,7.8,11.9,9.4,54.3,0.655,0.533,,39.1,29.8,34.7,39.3,29.8,77,8.8,8.9,11.1,57.3,57.2,25.1,20.6,+1.51,,,,0.042,23,17.2
Mississippi,2002,1,9,0.633,113.3,96.7,53.1,48.1,40.5,50.7,48.4,67.8,10.7,11.8,12.6,45.2,0.69,0.556,,34.8,32.1,42.4,37.9,31.6,73.6,11.6,5.2,10.8,57.7,51.8,32.1,22.7,-6.23,,,,0.057,22.7,23.3
UCLA,2002,3,8,0.636,113.7,97.3,53,49.6,28.2,50.7,49.4,71.6,7.8,13.3,11.6,54.8,0.655,0.571,,36,33.3,33.9,39,33.3,69.2,6.1,8.1,8.1,53,55.7,27,18.1,+8.58,,,,0.019,21.4,19.4
California,2002,2,6,0.719,109.8,93.7,50.2,48.1,38.8,51.7,46.1,66.6,11.4,11.7,13.4,56.1,0.75,0.5,,32.8,35.8,36.2,31.4,34.4,67.7,7.1,12,7.3,58.3,59.7,24.3,19.6,-5.85,,,,0.031,19,24.8
OklahomaSt.,2002,1,7,0.719,107.9,92.1,49.3,45.5,30.1,49.4,45.2,68.2,11.2,12.1,11.6,58.3,0.767,0.444,,41.5,33.2,38,32.7,30.7,64.4,8.9,8.6,10,55.1,51,21.8,19.9,+0.53,,,,0.048,22.1,22.8
